,response
247,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
248,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
249,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
250,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
251,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
252,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
253,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
254,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
255,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
256,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
257,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
258,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
259,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
260,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
261,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
262,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. As of February"
263,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on 30 January 2020. As of"
264,"The COVID-19 pandemic in Australia refers to the ongoing outbreak of coronavirus disease 2019 (COVID-19) in Australia. The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been 1,057,000 confirmed cases of COVID-19 in Australia, resulting in at least 1,600 deaths. The country has implemented various measures to control the spread of the virus, including border closures"
265,"The COVID-19 pandemic in Australia refers to the ongoing outbreak of coronavirus disease 2019 (COVID-19) in Australia. The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been 1,057,000 confirmed cases of COVID-19 in Australia, resulting in at least 1,600 deaths. The country has implemented various measures to control the spread of the virus, including border closures"
266,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people and causing hundreds of thousands of deaths worldwide. It is caused by the SARS-CoV-2 virus, a member of the coronavirus family that causes the common"
267,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people and causing hundreds of thousands of deaths. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of"
268,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in every country in the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneez"
269,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of March"
270,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into Operation Iraqi Freedom, which aimed to remove Saddam Hussein from power in Iraq. As of 2021, the war in Afghanistan"
271,"The Second Battle of Kunduz was a military engagement between the Taliban insurgency and the International Security Assistance Force (ISAF) in the city of Kunduz, Afghanistan. The battle began on 30 September 2015, when the Taliban launched an offensive against the city, which had been under government control since 2001. The Taliban captured the city on 28 October 2015, marking the first time the group had taken control of a major city since the 2001 invasion of Afghanistan."
272,"The 2021 Sudanese coup d'état, also known as the September Coup, was a military coup d'état that took place in Sudan on 30 April 2021, when the military overthrew the government of President Omar al-Bashir, who had been in power since 1989. The coup was led by General Abdel Fattah al-Burhan, who was appointed as the head of the Transitional Military Council (TMC). Al-Bashir was subsequently arrested and charged with corruption and war crimes"
273,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan and Pakistan. ISIL-KP was officially announced on January 17, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. Al-"
274,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on 30 January 2020. As of February"
275,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
276,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
277,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
278,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
279,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
280,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
281,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
282,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
283,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
284,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
285,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
286,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
287,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
288,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
289,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
290,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
291,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
292,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
293,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
294,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
295,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
296,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
297,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
298,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
299,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
300,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
301,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
302,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
303,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
304,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
305,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
306,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
307,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
308,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
309,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
310,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
311,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
312,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
313,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
314,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The operation aimed to defeat al-Qaeda and remove the Taliban from power in Afghanistan. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other militant groups. In 2014, the United States and its allies signed the Bilateral Security Agreement with Afghanistan,"
315,"The ongoing war in Afghanistan began in 2015 when the Taliban launched a large-scale offensive against the government of Afghanistan. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The United States invaded Afghanistan in 2001 as part of Operation Enduring Freedom following the September 11 terrorist attacks, which led to the overthrow of the Taliban government. However, the Taliban continued to wage an insurgency against the government and foreign forces. In 2014, the Tal"
316,"The Taliban insurgency refers to the ongoing insurgency in Afghanistan led by the Islamic Emirate of Afghanistan (the Taliban) against the government of Afghanistan and foreign military forces, particularly those of the International Security Assistance Force (ISAF) and Operation Enduring Freedom (OEF). The insurgency began shortly after the fall of the Taliban government in late 2001, following the United States invasion of Afghanistan in response to the September 11 attacks. Since then, the Taliban have re-emerged as a major force"
317,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks. The operation was initially focused on removing the Taliban regime which had harbored Osama bin Laden and other al-Qaeda operatives responsible for the attacks. After the removal of the Taliban, Operation Enduring Freedom expanded into a counter-terrorism and counterinsurgency campaign against various militant groups, including al-Qaeda and the Taliban, as well as"
318,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus spreads from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be contracted by touching a surface or object contaminated with the virus and then touching the mouth, nose, or eyes. As of February 2"
319,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary goal of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda operatives. Since then, the conflict has expanded into an insurgency campaign by the Taliban and other anti-government forces against the government of Afghanistan and the NATO"
320,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary goal of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda operatives. Since then, the conflict has expanded into an insurgency campaign by the Taliban and other anti-government forces against the government of Afghanistan and the NATO"
321,"The 2015 Kabul bombings were a series of coordinated suicide bombings that occurred on 19 August 2015 in Kabul, Afghanistan. At least 34 people were killed and over 100 others were injured in the attacks. The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) claimed responsibility for the bombings. <Summary> The 2015 Kabul bombings were a series of coordinated suicide bombings that occurred on 19 August 2015"
322,"A tsunami is a series of ocean waves that can cause devastating damage when they reach the coast. Tsunamis are often caused by earthquakes or volcanic eruptions, but can also be caused by meteorite impacts or underwater landslides. Tsunamis can move at speeds of up to 800 km/h (500 mph) in the open ocean, and their height can grow to over 100 feet (30 meters) as they approach the shore. When a tsunami reaches the coast, the water can re"
323,"The 2013 Boston Marathon bombing was a terrorist attack that occurred on April 15, 2013, when two pressure cooker bombs exploded during the Boston Marathon in Boston, Massachusetts, killing three people and injuring an estimated 264 others. The Federal Bureau of Investigation (FBI) identified the suspects as Dzhokhar Tsarnaev and his brother Tamerlan Tsarnaev, ethnic Chechens from Kyrgyzstan who had been living in the United States for about a decade. On April 19,"
324,"The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Pakistan, and Iran. ISIL-KP was established in January 2015, when the group's leader, Hafiz Saeed Khan, pledged allegiance to Abu Bakr al-Baghdadi, the self-proclaimed caliph of the Islamic"
325,"The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Iran, and Tajikistan. It has been designated as a foreign terrorist organization by the United States Department of State. In January 2015, ISIL-KP declared its allegiance to Abu Bakr al-Baghdadi, the self-proclaimed caliph of"
326,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a worldwide pandemic. The virus spreads from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a global pandemic on January 8, 202"
